Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
3917612.0,Ke'Shawn Vaughn,25,TAM,RB,15,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0
,Sam Williams,23,DAL,DE,15,0,0,0,0,0,1,1,0,3,0,0,4.0,22,15,7,10,9,0
,David Andrews,30,NWE,C,14,14,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
,Andrew Billings,27,LVR,LDT,14,14,0,0,0,0,0,0,0,0,0,0,1.0,39,18,21,3,3,0
4239768.0,Spencer Brown,24,BUF,RT,14,14,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0
161106.0,Calais Campbell,36,BAL,DE,14,14,0,0,0,0,2,2,0,0,0,0,5.5,36,18,18,4,14,0
,Jack Conklin,28,CLE,RT,14,14,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
183253.0,Andy Dalton,35,NOR,QB,14,14,0,0,0,0,0,0,5,4,1,0,0.0,1,0,1,0,0,0
4361093.0,Kyler Gordon,23,CHI,RCB,14,14,3,78,0,42,6,1,0,1,12,0,0.0,71,55,16,2,0,0
,Lawrence Guy,32,NWE,LDE,14,14,0,0,0,0,0,0,0,0,0,0,2.0,46,18,28,3,5,0
3691739.0,Derwin James,26,LAC,FS,14,14,2,0,0,0,6,2,0,0,0,0,4.0,115,64,51,5,5,0
4241464.0,Mac Jones,24,NWE,QB,14,14,0,0,0,0,0,0,5,2,-5,0,0.0,0,0,0,0,0,0
501084.0,Lamarcus Joyner,32,NYJ,SS,14,14,3,31,0,27,6,0,0,1,1,0,0.0,57,30,27,0,2,0
546636.0,Jayron Kearse,28,DAL,SS,14,14,1,2,0,2,5,1,0,2,6,0,2.0,77,55,22,7,2,0
,Corey Linsley,31,LAC,C,14,14,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
3116385.0,Joe Mixon,26,CIN,RB,14,14,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0
3123076.0,David Njoku,26,CLE,TE,14,14,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
4258199.0,Cesar Ruiz,23,NOR,RG,14,14,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0
116582.0,Harrison Smith,33,MIN,SS,14,14,5,58,0,35,10,1,0,0,0,0,0.0,85,66,19,1,0,0
3686690.0,James Smith-Williams,25,WAS,RDE,14,14,0,0,0,0,1,0,0,0,0,0,3.0,23,12,11,5,16,0
,AJ Terrell,24,ATL,LCB/RCB,14,14,0,0,0,0,9,0,1,1,21,0,0.0,47,36,11,1,0,0
