Player ID,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb
546653.0,James Conner,27.0,ARI,RB,13.0,13.0,58.0,46.0,300.0,6.5,1.0,13.0,44.8,22.0,3.5,23.1,79.3,5.2,3.0
4360294.0,Antonio Gibson,24.0,WAS,RB,15.0,6.0,58.0,46.0,353.0,7.7,2.0,18.0,46.6,26.0,3.1,23.5,79.3,6.1,1.0
,Marvin Jones,32.0,JAX,WR,16.0,10.0,81.0,46.0,529.0,11.5,3.0,29.0,51.9,37.0,2.9,33.1,56.8,6.5,0.0
3916945.0,Darius Slayton,25.0,NYG,WR,16.0,11.0,71.0,46.0,724.0,15.7,2.0,30.0,57.7,55.0,2.9,45.3,64.8,10.2,2.0
3121409.0,Noah Brown,26.0,DAL,WR,16.0,13.0,74.0,43.0,555.0,12.9,3.0,25.0,48.6,51.0,2.7,34.7,58.1,7.5,1.0
4361432.0,Romeo Doubs,22.0,GNB,WR,13.0,7.0,67.0,42.0,425.0,10.1,3.0,20.0,46.3,26.0,3.2,32.7,62.7,6.3,2.0
,Juwan Johnson,26.0,NOR,TE,16.0,12.0,65.0,42.0,508.0,12.1,7.0,25.0,52.3,41.0,2.6,31.8,64.6,7.8,0.0
3128724.0,Isaiah McKenzie,27.0,BUF,WR,15.0,8.0,65.0,42.0,423.0,10.1,4.0,27.0,58.5,30.0,2.8,28.2,64.6,6.5,0.0
4243331.0,Cade Otton,23.0,TAM,TE,16.0,11.0,65.0,42.0,391.0,9.3,2.0,19.0,52.3,35.0,2.6,24.4,64.6,6.0,0.0
549962.0,Marquez Valdes-Scantling,28.0,KAN,WR,17.0,11.0,81.0,42.0,687.0,16.4,2.0,32.0,48.1,57.0,2.5,40.4,51.9,8.5,0.0
481756.0,Michael Carter,23.0,NYJ,RB,16.0,10.0,54.0,41.0,288.0,7.0,0.0,12.0,46.3,37.0,2.6,18.0,75.9,5.3,2.0
538573.0,Najee Harris,24.0,PIT,RB,17.0,17.0,53.0,41.0,229.0,5.6,3.0,16.0,49.1,19.0,2.4,13.5,77.4,4.3,3.0
,Hunter Henry,28.0,NWE,TE,17.0,14.0,59.0,41.0,509.0,12.4,2.0,23.0,50.8,39.0,2.4,29.9,69.5,8.6,0.0
546471.0,Austin Hooper,28.0,TEN,TE,17.0,2.0,60.0,41.0,444.0,10.8,2.0,28.0,60.0,24.0,2.4,26.1,68.3,7.4,0.0
4372485.0,Rondale Moore,22.0,ARI,WR,8.0,8.0,56.0,41.0,414.0,10.1,1.0,16.0,46.4,38.0,5.1,51.8,73.2,7.4,0.0
4360078.0,Alec Pierce,22.0,IND,WR,16.0,12.0,78.0,41.0,593.0,14.5,2.0,28.0,46.2,47.0,2.6,37.1,52.6,7.6,1.0
4430680.0,Christian Watson,23.0,GNB,WR,14.0,11.0,66.0,41.0,611.0,14.9,7.0,28.0,50.0,63.0,2.9,43.6,62.1,9.3,0.0
4040655.0,Darnell Mooney,25.0,CHI,WR,12.0,12.0,61.0,40.0,493.0,12.3,2.0,20.0,45.9,56.0,3.3,41.1,65.6,8.1,0.0
3917914.0,Olamide Zaccheaus,25.0,ATL,WR,17.0,13.0,61.0,40.0,533.0,13.3,3.0,25.0,52.5,45.0,2.4,31.4,65.6,8.7,1.0
3116593.0,Dalvin Cook,27.0,MIN,RB,17.0,17.0,56.0,39.0,295.0,7.6,2.0,16.0,41.1,64.0,2.3,17.4,69.6,5.3,4.0
4036348.0,Michael Gallup,26.0,DAL,WR,14.0,11.0,74.0,39.0,424.0,10.9,4.0,25.0,44.6,27.0,2.8,30.3,52.7,5.7,0.0
3916148.0,Tony Pollard,25.0,DAL,RB,16.0,4.0,55.0,39.0,371.0,9.5,3.0,18.0,47.3,68.0,2.4,23.2,70.9,6.7,0.0
4035656.0,Ben Skowronek,25.0,LAR,WR,14.0,11.0,61.0,39.0,376.0,9.6,0.0,16.0,49.2,32.0,2.8,26.9,63.9,6.2,0.0
480239.0,Logan Thomas,31.0,WAS,TE,14.0,13.0,61.0,39.0,323.0,8.3,1.0,15.0,45.9,27.0,2.8,23.1,63.9,5.3,0.0
3116389.0,Samaje Perine,27.0,CIN,RB,16.0,2.0,51.0,38.0,287.0,7.6,4.0,11.0,41.2,32.0,2.4,17.9,74.5,5.6,0.0
559694.0,Josh Reynolds,27.0,DET,WR,14.0,11.0,59.0,38.0,479.0,12.6,3.0,25.0,61.0,31.0,2.7,34.2,64.4,8.1,0.0
4040761.0,Devin Singletary,25.0,BUF,RB,16.0,16.0,52.0,38.0,280.0,7.4,1.0,15.0,53.8,22.0,2.4,17.5,73.1,5.4,3.0
3128452.0,Jordan Akins,30.0,HOU,TE,15.0,3.0,54.0,37.0,495.0,13.4,5.0,23.0,53.7,46.0,2.5,33.0,68.5,9.2,1.0
481556.0,Rex Burkhead,32.0,HOU,RB,16.0,0.0,51.0,37.0,204.0,5.5,1.0,8.0,29.4,17.0,2.3,12.8,72.5,4.0,0.0
4258173.0,Nico Collins,23.0,HOU,WR,10.0,7.0,66.0,37.0,481.0,13.0,2.0,21.0,42.4,58.0,3.7,48.1,56.1,7.3,0.0
4039050.0,Devin Duvernay,25.0,BAL,WR,14.0,13.0,49.0,37.0,407.0,11.0,3.0,19.0,59.2,31.0,2.6,29.1,75.5,8.3,1.0
,Elijah Moore,22.0,NYJ,WR,16.0,9.0,65.0,37.0,446.0,12.1,1.0,22.0,44.6,42.0,2.3,27.9,56.9,6.9,1.0
4361050.0,Isaiah Likely,22.0,BAL,TE,16.0,2.0,60.0,36.0,373.0,10.4,3.0,18.0,35.0,34.0,2.3,23.3,60.0,6.2,0.0
3135321.0,Hunter Renfrow,27.0,LVR,WR,10.0,1.0,50.0,36.0,330.0,9.2,2.0,18.0,52.0,27.0,3.6,33.0,72.0,6.6,3.0
547051.0,Kendrick Bourne,27.0,NWE,WR,16.0,2.0,48.0,35.0,434.0,12.4,1.0,22.0,54.2,41.0,2.2,27.1,72.9,9.0,2.0
4361409.0,Jahan Dotson,22.0,WAS,WR,12.0,10.0,61.0,35.0,523.0,14.9,7.0,26.0,50.8,61.0,2.9,43.6,57.4,8.6,0.0
4239996.0,Travis Etienne,23.0,JAX,RB,17.0,12.0,45.0,35.0,316.0,9.0,0.0,16.0,44.4,30.0,2.1,18.6,77.8,7.0,5.0
552745.0,Kareem Hunt,27.0,CLE,RB,17.0,0.0,44.0,35.0,210.0,6.0,1.0,11.0,38.6,24.0,2.1,12.4,79.5,4.8,1.0
3886598.0,Jauan Jennings,25.0,SFO,WR,16.0,4.0,56.0,35.0,416.0,11.9,1.0,23.0,55.4,44.0,2.2,26.0,62.5,7.4,1.0
382886.0,Randall Cobb,32.0,GNB,WR,13.0,3.0,50.0,34.0,417.0,12.3,1.0,19.0,56.0,40.0,2.6,32.1,68.0,8.3,1.0
3127292.0,Will Dissly,26.0,SEA,TE,15.0,15.0,38.0,34.0,349.0,10.3,3.0,20.0,73.7,38.0,2.3,23.3,89.5,9.2,0.0
186421.0,David Montgomery,25.0,CHI,RB,16.0,16.0,40.0,34.0,316.0,9.3,1.0,10.0,50.0,32.0,2.1,19.8,85.0,7.9,2.0
4567156.0,Treylon Burks,22.0,TEN,WR,11.0,6.0,54.0,33.0,444.0,13.5,1.0,19.0,50.0,51.0,3.0,40.4,61.1,8.2,0.0
4367209.0,Greg Dulcich,22.0,DEN,TE,10.0,6.0,55.0,33.0,411.0,12.5,2.0,18.0,50.9,39.0,3.3,41.1,60.0,7.5,0.0
232295.0,Derrick Henry,28.0,TEN,RB,16.0,16.0,41.0,33.0,398.0,12.1,0.0,11.0,61.0,69.0,2.1,24.9,80.5,9.7,6.0
3843945.0,Foster Moreau,25.0,LVR,TE,15.0,14.0,54.0,33.0,420.0,12.7,2.0,24.0,51.9,33.0,2.2,28.0,61.1,7.8,1.0
518204.0,Allen Robinson,29.0,LAR,WR,10.0,10.0,52.0,33.0,339.0,10.3,3.0,23.0,53.8,29.0,3.3,33.9,63.5,6.5,0.0
4050373.0,Quez Watkins,24.0,PHI,WR,17.0,8.0,51.0,33.0,354.0,10.7,3.0,13.0,37.3,53.0,1.9,20.8,64.7,6.9,1.0
163202.0,Corey Davis,27.0,NYJ,WR,13.0,10.0,64.0,32.0,536.0,16.8,2.0,28.0,48.4,66.0,2.5,41.2,50.0,8.4,0.0
3116164.0,Mike Gesicki,27.0,MIA,TE,17.0,1.0,52.0,32.0,362.0,11.3,5.0,19.0,48.1,32.0,1.9,21.3,61.5,7.0,0.0
4360635.0,Chigoziem Okonkwo,23.0,TEN,TE,17.0,8.0,46.0,32.0,450.0,14.1,3.0,22.0,50.0,48.0,1.9,26.5,69.6,9.8,0.0
531010.0,Nelson Agholor,29.0,NWE,WR,16.0,7.0,53.0,31.0,362.0,11.7,2.0,12.0,37.7,44.0,1.9,22.6,58.5,6.8,2.0
4040774.0,Harrison Bryant,24.0,CLE,TE,17.0,9.0,42.0,31.0,239.0,7.7,1.0,12.0,52.4,30.0,1.8,14.1,73.8,5.7,0.0
4039160.0,Kylen Granson,24.0,IND,TE,13.0,4.0,40.0,31.0,302.0,9.7,0.0,17.0,52.5,32.0,2.4,23.2,77.5,7.6,1.0
514200.0,Raheem Mostert,30.0,MIA,RB,16.0,14.0,42.0,31.0,202.0,6.5,2.0,11.0,47.6,25.0,1.9,12.6,73.8,4.8,1.0
511615.0,DeVante Parker,29.0,NWE,WR,13.0,11.0,47.0,31.0,539.0,17.4,3.0,25.0,59.6,43.0,2.4,41.5,66.0,11.5,0.0
4361516.0,Daniel Bellinger,22.0,NYG,TE,12.0,11.0,35.0,30.0,268.0,8.9,2.0,14.0,68.6,24.0,2.5,22.3,85.7,7.7,1.0
,DJ Chark,26.0,DET,WR,11.0,10.0,52.0,30.0,502.0,16.7,3.0,24.0,51.9,51.0,2.7,45.6,57.7,9.7,0.0
4240455.0,Deon Jackson,23.0,IND,RB,16.0,2.0,34.0,30.0,209.0,7.0,1.0,10.0,47.1,27.0,1.9,13.1,88.2,6.1,1.0
4360238.0,Dameon Pierce,22.0,HOU,RB,13.0,13.0,39.0,30.0,165.0,5.5,1.0,7.0,43.6,16.0,2.3,12.7,76.9,4.2,4.0
3122168.0,Trent Sherfield,26.0,MIA,WR,17.0,4.0,51.0,30.0,417.0,13.9,2.0,18.0,45.1,75.0,1.8,24.5,58.8,8.2,0.0
4361307.0,Trey McBride,23.0,ARI,TE,16.0,13.0,39.0,29.0,265.0,9.1,1.0,12.0,46.2,29.0,1.8,16.6,74.4,6.8,1.0
4239934.0,AJ Dillon,24.0,GNB,RB,17.0,3.0,43.0,28.0,206.0,7.4,0.0,9.0,39.5,17.0,1.6,12.1,65.1,4.8,1.0
4240472.0,Noah Gray,23.0,KAN,TE,17.0,8.0,34.0,28.0,299.0,10.7,1.0,14.0,64.7,27.0,1.6,17.6,82.4,8.8,0.0
4362630.0,Terrace Marshall Jr.,22.0,CAR,WR,14.0,9.0,47.0,28.0,490.0,17.5,1.0,24.0,53.2,43.0,2.0,35.0,59.6,10.4,2.0
4360248.0,Kyle Pitts,22.0,ATL,TE,10.0,10.0,59.0,28.0,356.0,12.7,2.0,20.0,42.4,33.0,2.8,35.6,47.5,6.0,0.0
4032473.0,Rashid Shaheed,24.0,NOR,WR,12.0,6.0,34.0,28.0,488.0,17.4,2.0,18.0,70.6,68.0,2.3,40.7,82.4,14.4,1.0
4242335.0,Jonathan Taylor,23.0,IND,RB,11.0,11.0,40.0,28.0,143.0,5.1,0.0,4.0,32.5,19.0,2.5,13.0,70.0,3.6,3.0
513727.0,Darren Waller,30.0,LVR,TE,9.0,6.0,43.0,28.0,388.0,13.9,3.0,18.0,46.5,34.0,3.1,43.1,65.1,9.0,0.0
4569987.0,Jaylen Warren,24.0,PIT,RB,16.0,0.0,33.0,28.0,214.0,7.6,0.0,14.0,51.5,26.0,1.8,13.4,84.8,6.5,1.0
3128720.0,Nick Chubb,27.0,CLE,RB,17.0,17.0,37.0,27.0,239.0,8.9,1.0,12.0,51.4,26.0,1.6,14.1,73.0,6.5,1.0
481791.0,Marquise Goodwin,32.0,SEA,WR,13.0,2.0,42.0,27.0,387.0,14.3,4.0,18.0,54.8,38.0,2.1,29.8,64.3,9.2,0.0
515882.0,J.D. McKissic,29.0,WAS,RB,8.0,0.0,40.0,27.0,173.0,6.4,0.0,7.0,42.5,14.0,3.4,21.6,67.5,4.3,0.0
4243160.0,Laviska Shenault Jr.,24.0,CAR,WR,13.0,4.0,32.0,27.0,272.0,10.1,1.0,10.0,50.0,67.0,2.1,20.9,84.4,8.5,0.0
551279.0,Jonnu Smith,27.0,NWE,TE,14.0,8.0,38.0,27.0,245.0,9.1,0.0,9.0,47.4,53.0,1.9,17.5,71.1,6.4,1.0
4567048.0,Kenneth Walker III,22.0,SEA,RB,15.0,11.0,35.0,27.0,165.0,6.1,0.0,6.0,37.1,33.0,1.8,11.0,77.1,4.7,0.0
