Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 17_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
98,Cato June,25,IND,RLB,16,16,2,71,0,71,9.0,0,0,2,-1,0,0.0,110.0,84.0,26.0,6.0,0,
99,Aaron Kampman,25,GNB,LDE,16,16,0,0,0,0,3.0,1,0,1,3,0,4.5,68.0,48.0,20.0,8.0,0,
100,Brian Kelly,28,TAM,LCB,16,16,4,101,0,75,22.0,0,0,1,32,0,0.0,58.0,51.0,7.0,2.0,0,
101,Kenoy Kennedy,27,DEN,SS,16,16,1,21,0,21,9.0,2,0,1,5,0,2.0,88.0,70.0,18.0,3.0,0,
102,Terrence Kiel,24,SDG,SS,16,16,2,31,0,31,10.0,0,0,1,0,0,1.0,97.0,72.0,25.0,3.0,0,
103,Sammy Knight,29,MIA,SS,16,16,4,32,0,32,4.0,2,1,1,0,0,0.0,100.0,54.0,46.0,3.0,1,
104,Dan Koppen,25,NWE,C,16,16,0,0,0,0,0.0,0,1,1,-6,0,0.0,0.0,0.0,0.0,0.0,0,
105,Olin Kreutz,27,CHI,C,16,16,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
106,Ben Leber,26,SDG,LOLB,16,16,0,0,0,0,1.0,0,0,1,25,0,2.0,60.0,49.0,11.0,5.0,0,
107,Teddy Lehman,23,DET,RLB,16,16,1,1,0,1,3.0,1,0,0,0,0,1.0,103.0,76.0,27.0,7.0,0,
108,Kevin Lewis,26,NYG,MLB,16,16,0,0,0,0,3.0,0,0,1,16,0,1.0,91.0,65.0,26.0,4.0,0,
109,Michael Lewis,24,PHI,SS,16,16,1,0,0,0,12.0,2,0,1,0,0,0.0,90.0,76.0,14.0,4.0,0,PB
110,Leonard Little,30,STL,LDE,16,16,0,0,0,0,2.0,1,0,4,66,2,7.0,46.0,38.0,8.0,7.0,0,
111,Chris Liwienski,29,MIN,LG,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
112,Ken Lucas,25,SEA,RCB,16,16,6,46,1,25,21.0,1,0,2,3,0,0.0,70.0,62.0,8.0,2.0,0,
113,David Macklin,26,ARI,RCB,16,16,4,18,0,16,16.0,1,0,1,1,0,0.5,75.0,63.0,12.0,1.0,0,
114,Sam Madison,30,MIA,RCB,16,16,0,0,0,0,7.0,3,1,0,4,0,0.0,47.0,34.0,13.0,2.0,0,
115,Peyton Manning,28,IND,QB,16,16,0,0,0,0,0.0,0,5,3,-3,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-1,AP MVP-1,AP OPoY-1"
116,Ricky Manning,24,CAR,LCB,16,16,4,46,0,30,9.0,0,1,0,0,0,0.0,66.0,54.0,12.0,2.0,0,
117,Vince Manuwai,24,JAX,LG,16,16,0,0,0,0,0.0,0,1,2,-3,0,0.0,0.0,0.0,0.0,0.0,0,
118,Brock Marion,34,DET,FS,16,16,3,43,0,24,8.0,0,0,0,0,0,0.0,88.0,66.0,22.0,0.0,0,
119,Curtis Martin,31,NYJ,RB,16,16,0,0,0,0,0.0,0,2,2,-9,0,0.0,0.0,0.0,0.0,0.0,0,"PB,AP-1,AP OPoY-4"
120,Derrick Mason,30,TEN,WR,16,16,0,0,0,0,0.0,0,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0,
121,Rashean Mathis,24,JAX,LCB,16,16,5,42,0,21,21.0,1,0,0,0,0,0.0,64.0,54.0,10.0,2.0,0,
