Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Unnamed: 29_level_0
Rk,Player,Age,Team,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards
39.0,Aaron Elling,26.0,2TM,K,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,22.0,50.0,2.0,2.0,100.0,4.0,248.0,0.0,0.0,62.0,
39.0,Aaron Elling,26.0,TEN,K,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,22.0,50.0,2.0,2.0,100.0,4.0,248.0,0.0,0.0,62.0,
40.0,Todd Sauerbrun,31.0,CAR,P,16.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,34.0,100.0,4.0,4.0,100.0,21.0,1126.0,1.0,4.8,54.0,
41.0,Wes Welker,23.0,2TM,WR,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,100.0,1.0,1.0,100.0,3.0,158.0,0.0,0.0,53.0,
41.0,Wes Welker,23.0,MIA,WR,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,100.0,1.0,1.0,100.0,3.0,158.0,0.0,0.0,53.0,
42.0,Jason Baker,26.0,3TM,P,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,24.0,1474.0,1.0,4.2,61.0,
42.0,Jason Baker,26.0,DEN,P,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,24.0,1474.0,1.0,4.2,61.0,
43.0,Darren Bennett,39.0,MIN,P,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,62.0,0.0,0.0,62.0,
44.0,Mitch Berger,32.0,NOR,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,37.0,2348.0,1.0,2.7,64.0,PB
45.0,Jose Cortez,29.0,MIN,K,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,38.0,2377.0,4.0,10.5,63.0,
46.0,Toby Gowin,29.0,NYJ,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,76.0,4781.0,7.0,9.2,63.0,
47.0,Nick Harris,26.0,DET,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,64.0,0.0,0.0,64.0,
48.0,Donnie Jones,24.0,SEA,P,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,54.0,0.0,0.0,54.0,
49.0,Micah Knorr,29.0,DEN,P,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,61.0,3924.0,15.0,24.6,64.0,
50.0,Kyle Larson,24.0,CIN,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,53.0,0.0,0.0,53.0,
51.0,Brad Maynard,30.0,CHI,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,52.0,0.0,0.0,52.0,AP-2
52.0,Chris Mohr,38.0,ATL,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,52.0,0.0,0.0,52.0,
53.0,Wade Richey,28.0,BAL,K,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,53.0,3305.0,7.0,13.2,62.0,
54.0,Mike Scifres,24.0,SDG,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,72.0,0.0,0.0,36.0,
55.0,Hunter Smith,27.0,IND,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,9.0,492.0,1.0,11.1,55.0,
56.0,Chad Stanley,28.0,HOU,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,2.0,104.0,0.0,0.0,52.0,
57.0,Tom Tupa,38.0,WAS,P,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,47.0,0.0,0.0,47.0,
58.0,Dave Zastudil,26.0,BAL,P,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,54.0,0.0,0.0,54.0,
,League Average,,,,,,,,,,,,,,,,,,,80.8,,,99.2,,,,8.7,61.0,
