Player ID,Player,Age,Team,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty
,Edgerrin James,26,IND,RB,16,16,0,0,0,0,0.0,0,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Tory James,31,CIN,RCB,16,16,8,66,0,23,13.0,2,0,1,0,0,0.0,63.0,58.0,5.0,2.0,0
,Quentin Jammer,25,SDG,RCB,16,16,1,12,0,12,10.0,0,0,0,0,0,0.0,62.0,53.0,9.0,1.0,0
,Andre Johnson,23,HOU,WR,16,16,0,0,0,0,0.0,0,1,1,0,0,0.0,1.0,0.0,1.0,0.0,0
,Chad Johnson,26,CIN,WR,16,16,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0
,Keyshawn Johnson,32,DAL,WR,16,16,0,0,0,0,1.0,0,1,1,0,0,0.0,1.0,0.0,1.0,0.0,0
,Rudi Johnson,25,CIN,RB,16,16,0,0,0,0,0.0,0,4,0,0,0,0.0,,,,,0
,Tebucky Jones,30,NOR,FS,16,16,1,55,0,55,4.0,1,0,1,0,0,0.0,102.0,79.0,23.0,0.0,0
,Cato June,25,IND,RLB,16,16,2,71,0,71,9.0,0,0,2,-1,0,0.0,110.0,84.0,26.0,6.0,0
,Aaron Kampman,25,GNB,LDE,16,16,0,0,0,0,3.0,1,0,1,3,0,4.5,68.0,48.0,20.0,8.0,0
,Brian Kelly,28,TAM,LCB,16,16,4,101,0,75,22.0,0,0,1,32,0,0.0,58.0,51.0,7.0,2.0,0
,Kenoy Kennedy,27,DEN,SS,16,16,1,21,0,21,9.0,2,0,1,5,0,2.0,88.0,70.0,18.0,3.0,0
,Terrence Kiel,24,SDG,SS,16,16,2,31,0,31,10.0,0,0,1,0,0,1.0,97.0,72.0,25.0,3.0,0
,Sammy Knight,29,MIA,SS,16,16,4,32,0,32,4.0,2,1,1,0,0,0.0,100.0,54.0,46.0,3.0,1
,Dan Koppen,25,NWE,C,16,16,0,0,0,0,0.0,0,1,1,-6,0,0.0,0.0,0.0,0.0,0.0,0
,Olin Kreutz,27,CHI,C,16,16,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Ben Leber,26,SDG,LOLB,16,16,0,0,0,0,1.0,0,0,1,25,0,2.0,60.0,49.0,11.0,5.0,0
,Teddy Lehman,23,DET,RLB,16,16,1,1,0,1,3.0,1,0,0,0,0,1.0,103.0,76.0,27.0,7.0,0
,Kevin Lewis,26,NYG,MLB,16,16,0,0,0,0,3.0,0,0,1,16,0,1.0,91.0,65.0,26.0,4.0,0
,Leonard Little,30,STL,LDE,16,16,0,0,0,0,2.0,1,0,4,66,2,7.0,46.0,38.0,8.0,7.0,0
,Chris Liwienski,29,MIN,LG,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Ken Lucas,25,SEA,RCB,16,16,6,46,1,25,21.0,1,0,2,3,0,0.0,70.0,62.0,8.0,2.0,0
,David Macklin,26,ARI,RCB,16,16,4,18,0,16,16.0,1,0,1,1,0,0.5,75.0,63.0,12.0,1.0,0
,Sam Madison,30,MIA,RCB,16,16,0,0,0,0,7.0,3,1,0,4,0,0.0,47.0,34.0,13.0,2.0,0
,Peyton Manning,28,IND,QB,16,16,0,0,0,0,0.0,0,5,3,-3,0,0.0,0.0,0.0,0.0,0.0,0
,Ricky Manning,24,CAR,LCB,16,16,4,46,0,30,9.0,0,1,0,0,0,0.0,66.0,54.0,12.0,2.0,0
,Vince Manuwai,24,JAX,LG,16,16,0,0,0,0,0.0,0,1,2,-3,0,0.0,0.0,0.0,0.0,0.0,0
,Brock Marion,34,DET,FS,16,16,3,43,0,24,8.0,0,0,0,0,0,0.0,88.0,66.0,22.0,0.0,0
,Curtis Martin,31,NYJ,RB,16,16,0,0,0,0,0.0,0,2,2,-9,0,0.0,0.0,0.0,0.0,0.0,0
,Derrick Mason,30,TEN,WR,16,16,0,0,0,0,0.0,0,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0
,Rashean Mathis,24,JAX,LCB,16,16,5,42,0,21,21.0,1,0,0,0,0,0.0,64.0,54.0,10.0,2.0,0
,Justin McCareins,26,NYJ,WR,16,16,0,0,0,0,0.0,0,3,4,0,0,0.0,,,,,0
,Todd McClure,27,ATL,C,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Andy McCollum,34,STL,C,16,16,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0
,Willie McGinest,33,NWE,LOLB,16,16,1,27,0,27,6.0,2,0,1,0,0,9.5,51.0,35.0,16.0,7.0,0
