Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Unnamed: 17_level_0,Unnamed: 18_level_0
Rk,Player,Age,Team,Pos,G,GS,Ret,Yds,PRTD,Lng,Y/Ret,Ret,Yds,KRTD,Lng,Y/Ret,APYd,Awards
70.0,Patrick Crayton,31.0,SDG,WR,9.0,2.0,2.0,23.0,0.0,13.0,11.5,1.0,31.0,0.0,31.0,31.0,568.0,
71.0,Armanti Edwards,22.0,CAR,QB,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,
72.0,Joe McKnight,22.0,NYJ,RB,9.0,1.0,2.0,43.0,0.0,25.0,21.5,3.0,60.0,0.0,28.0,20.0,312.0,
73.0,Tracy Porter,24.0,NOR,RCB,12.0,12.0,2.0,6.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,,13.0,
74.0,Clifton Smith,25.0,2TM,RB,4.0,0.0,2.0,9.0,0.0,6.0,4.5,8.0,144.0,0.0,26.0,18.0,153.0,
74.0,Clifton Smith,25.0,MIA,RB,2.0,0.0,2.0,9.0,0.0,6.0,4.5,3.0,52.0,0.0,19.0,17.3,61.0,
74.0,Clifton Smith,25.0,CLE,RB,2.0,0.0,0.0,0.0,0.0,0.0,,5.0,92.0,0.0,26.0,18.4,92.0,
75.0,Chansi Stuckey,27.0,CLE,WR,16.0,5.0,2.0,5.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,,360.0,
76.0,Jonathon Amaya,22.0,MIA,DB,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
77.0,Tyron Brackenridge,26.0,JAX,DB,16.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,
78.0,Tyvon Branch,24.0,OAK,SS,16.0,16.0,1.0,-4.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,,87.0,
79.0,Andre Caldwell,25.0,CIN,WR,15.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,79.0,0.0,32.0,26.3,422.0,
80.0,Marquice Cole,27.0,NYJ,DB,12.0,1.0,1.0,-5.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,,44.0,
81.0,Thomas DeCoud,25.0,ATL,FS,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
82.0,Yamon Figurs,27.0,OAK,WR,1.0,0.0,1.0,10.0,0.0,10.0,10.0,5.0,105.0,0.0,25.0,21.0,132.0,
